
============================================================
ANALISIS: NVDA | P2TrendPutStrategy | ENTRADA: 183.10 | TP: 181.60 | SL: 187.60
20:00 | 183.84 | 188.88 | 183.41 | 185.51 | 18540234 
20:15 | 185.51 | 185.98 | 181.68 | 181.83 | 19715531 
20:30 | 181.85 | 183.62 | 181.41 | 183.55 | 12217379 
20:45 | 183.55 | 183.66 | 182.79 | 183.13 | 9571417 
14:30 | 185.07 | 185.40 | 183.26 | 184.05 | 12512358 
14:45 | 184.06 | 184.28 | 182.96 | 183.10 | 7925026 
15:00 | 183.10 | 183.24 | 181.90 | 182.37 | 8888781 
15:15 | 182.37 | 183.59 | 182.22 | 183.09 | 7729922 
15:30 | 183.08 | 183.41 | 182.64 | 183.16 | 4984898 
15:45 | 183.15 | 183.34 | 182.76 | 183.02 | 4048928 
16:00 | 183.01 | 183.21 | 182.24 | 182.62 | 4317593 
16:15 | 182.62 | 182.89 | 182.40 | 182.44 | 3656444 
16:30 | 182.44 | 182.58 | 181.68 | 182.34 | 4925256 
16:45 | 182.34 | 182.58 | 182.16 | 182.17 | 2997497 
17:00 | 182.18 | 182.19 | 181.74 | 181.99 | 3525839 [ENTRADA]
17:15 | 181.98 | 183.10 | 181.96 | 182.70 | 6370355 
17:30 | 182.70 | 182.95 | 182.31 | 182.59 | 3628579 
17:45 | 182.58 | 182.60 | 181.87 | 182.06 | 3467856 
18:00 | 182.06 | 182.63 | 182.05 | 182.42 | 3905191 
18:15 | 182.42 | 182.71 | 182.34 | 182.41 | 2387541 
18:30 | 182.41 | 183.20 | 182.40 | 182.84 | 3379144 
18:45 | 182.85 | 183.23 | 182.70 | 182.98 | 2697470 
19:00 | 183.00 | 183.47 | 182.96 | 183.25 | 3856065 
19:15 | 183.26 | 183.34 | 183.02 | 183.04 | 2542314 
19:30 | 183.03 | 183.16 | 182.64 | 182.68 | 2613772 
19:45 | 182.69 | 182.84 | 182.31 | 182.34 | 2957630 
20:00 | 182.33 | 182.49 | 182.06 | 182.28 | 3274110 
20:15 | 182.27 | 182.69 | 182.21 | 182.64 | 3649868 
20:30 | 182.64 | 182.93 | 182.28 | 182.38 | 4809278 
20:45 | 182.38 | 182.47 | 181.81 | 181.96 | 7283465 
14:30 | 182.57 | 182.82 | 180.72 | 181.64 | 10871761 
14:45 | 181.65 | 182.60 | 181.61 | 182.47 | 6741222 
15:00 | 182.47 | 183.38 | 182.20 | 182.43 | 7137442 
15:15 | 182.45 | 182.94 | 182.13 | 182.28 | 4737914 
15:30 | 182.28 | 182.81 | 182.10 | 182.11 | 4638348 
15:45 | 182.10 | 182.77 | 181.84 | 182.76 | 4357409 
16:00 | 182.77 | 183.24 | 182.61 | 182.95 | 5451096 
16:15 | 182.95 | 182.99 | 182.27 | 182.54 | 4028937 
16:30 | 182.54 | 182.71 | 182.32 | 182.49 | 3005571 
16:45 | 182.50 | 182.67 | 182.32 | 182.47 | 3063505 
17:00 | 182.47 | 182.82 | 182.36 | 182.69 | 2392276 
RESULTADO: EN CURSO
============================================================


============================================================
ANALISIS: MSFT | P2TrendPutStrategy | ENTRADA: 395.26 | TP: 393.76 | SL: 398.26
Hora  |  Open  |  High  |  Low   |  Close |  Vol
14:30 | 398.22 | 398.22 | 395.35 | 395.69 | 1868655 [ENTRADA]
14:45 | 395.66 | 396.83 | 394.79 | 395.26 | 1077532 
15:00 | 395.30 | 397.40 | 394.83 | 397.14 | 997921 
15:15 | 397.22 | 398.03 | 396.70 | 397.32 | 665840 
15:30 | 397.33 | 397.81 | 396.53 | 397.26 | 614243 
15:45 | 397.24 | 397.89 | 396.15 | 397.87 | 689161 
16:00 | 397.86 | 398.08 | 396.28 | 397.62 | 527696 
16:15 | 397.62 | 398.03 | 397.16 | 397.71 | 436125 
16:30 | 397.69 | 398.58 | 397.66 | 398.29 | 407614 
16:45 | 398.23 | 398.69 | 398.04 | 398.27 | 488116 
17:00 | 398.25 | 399.34 | 398.16 | 399.24 | 539392 
17:15 | 399.23 | 399.61 | 397.83 | 397.94 | 465083 
17:30 | 397.92 | 399.32 | 397.62 | 399.12 | 353339 
17:45 | 399.12 | 399.44 | 398.86 | 398.99 | 458584 
18:00 | 399.01 | 399.52 | 398.80 | 399.25 | 629918 
18:15 | 399.27 | 399.46 | 398.73 | 398.81 | 439303 
18:30 | 398.81 | 398.84 | 398.33 | 398.48 | 429996 
18:45 | 398.50 | 398.77 | 397.66 | 398.24 | 431156 
19:00 | 398.22 | 399.19 | 398.11 | 399.07 | 418002 
19:15 | 399.12 | 399.51 | 398.86 | 398.90 | 419707 
19:30 | 398.92 | 400.63 | 398.69 | 400.47 | 721680 
19:45 | 400.44 | 400.47 | 399.90 | 400.14 | 390919 
20:00 | 400.14 | 400.28 | 399.25 | 399.81 | 712231 
20:15 | 399.81 | 400.26 | 398.96 | 399.85 | 698591 
20:30 | 399.81 | 400.05 | 398.75 | 399.06 | 597432 
20:45 | 399.05 | 400.00 | 399.03 | 399.96 | 1620821 
14:30 | 400.27 | 402.61 | 399.15 | 401.58 | 1533250 
RESULTADO: FALLO
============================================================


============================================================
ANALISIS: AAPL | P2TrendPutStrategy | ENTRADA: 248.43 | TP: 246.93 | SL: 251.43
Hora  |  Open  |  High  |  Low   |  Close |  Vol
19:00 | 251.34 | 251.68 | 251.10 | 251.30 | 483418 
19:15 | 251.30 | 251.30 | 250.73 | 250.96 | 350976 
19:30 | 250.94 | 250.95 | 249.97 | 250.39 | 533920 
19:45 | 250.39 | 250.45 | 249.87 | 249.88 | 362124 
20:00 | 249.88 | 250.53 | 249.77 | 250.18 | 483113 
20:15 | 250.17 | 250.25 | 249.61 | 249.69 | 469337 
20:30 | 249.69 | 249.86 | 249.00 | 249.18 | 642600 
20:45 | 249.18 | 250.35 | 249.07 | 249.91 | 2417795 
14:30 | 249.40 | 250.70 | 247.30 | 250.49 | 2394097 
14:45 | 250.47 | 251.83 | 250.34 | 250.78 | 1365097 
15:00 | 250.80 | 251.18 | 250.20 | 250.72 | 759956 
15:15 | 250.71 | 250.82 | 249.66 | 249.80 | 582262 
15:30 | 249.82 | 250.71 | 249.56 | 249.64 | 576599 
15:45 | 249.64 | 250.20 | 249.34 | 249.87 | 500500 
16:00 | 249.86 | 250.27 | 249.60 | 250.10 | 418135 
16:15 | 250.10 | 250.17 | 249.14 | 249.41 | 438636 
16:30 | 249.41 | 249.52 | 249.12 | 249.15 | 381138 
16:45 | 249.15 | 249.75 | 249.04 | 249.62 | 482542 
17:00 | 249.62 | 249.96 | 249.36 | 249.66 | 452799 
17:15 | 249.64 | 249.70 | 248.88 | 249.26 | 387689 
17:30 | 249.27 | 249.42 | 248.42 | 248.54 | 520250 
17:45 | 248.55 | 248.57 | 247.87 | 248.04 | 399450 
18:00 | 248.03 | 248.23 | 247.71 | 247.99 | 427041 
18:15 | 248.00 | 248.54 | 247.91 | 248.28 | 363616 
18:30 | 248.29 | 248.45 | 247.78 | 247.99 | 341483 
18:45 | 248.01 | 248.31 | 247.72 | 247.95 | 365918 
19:00 | 247.96 | 248.53 | 247.67 | 248.40 | 474910 [ENTRADA]
19:15 | 248.40 | 248.50 | 248.01 | 248.02 | 340810 
19:30 | 248.01 | 248.22 | 247.67 | 247.72 | 370189 
19:45 | 247.74 | 248.58 | 247.71 | 248.43 | 467702 
20:00 | 248.43 | 249.59 | 248.40 | 249.06 | 1310792 
20:15 | 249.05 | 249.37 | 248.17 | 248.47 | 649247 
20:30 | 248.44 | 248.85 | 248.26 | 248.52 | 582471 
20:45 | 248.51 | 249.33 | 248.30 | 248.91 | 1935262 
14:30 | 247.64 | 248.73 | 246.61 | 247.33 | 9210778 
14:45 | 247.33 | 248.76 | 247.30 | 247.68 | 1043674 
15:00 | 247.66 | 247.76 | 246.82 | 247.64 | 764274 
15:15 | 247.63 | 248.47 | 247.59 | 247.77 | 753993 
15:30 | 247.79 | 248.08 | 247.16 | 248.01 | 643192 
15:45 | 248.00 | 248.85 | 247.85 | 248.19 | 700242 
16:00 | 248.20 | 248.64 | 247.85 | 248.21 | 453135 
16:15 | 248.23 | 248.65 | 247.78 | 247.99 | 525921 
16:30 | 247.97 | 248.32 | 247.86 | 248.31 | 305048 
16:45 | 248.30 | 248.93 | 248.12 | 248.84 | 364974 
17:00 | 248.85 | 249.06 | 248.56 | 248.84 | 392630 
17:15 | 248.84 | 248.90 | 248.55 | 248.62 | 368814 
17:30 | 248.65 | 248.66 | 248.13 | 248.41 | 350048 
17:45 | 248.40 | 248.68 | 248.08 | 248.44 | 296849 
18:00 | 248.46 | 248.79 | 248.21 | 248.49 | 347338 
18:15 | 248.47 | 248.62 | 248.16 | 248.27 | 306206 
18:30 | 248.29 | 248.38 | 247.53 | 247.86 | 382389 
18:45 | 247.88 | 248.27 | 247.64 | 248.17 | 410600 
19:00 | 248.18 | 248.76 | 248.17 | 248.41 | 469219 
RESULTADO: EXITO
============================================================


============================================================
ANALISIS: TSLA | P2TrendPutStrategy | ENTRADA: 394.98 | TP: 393.48 | SL: 399.48
Hora  |  Open  |  High  |  Low   |  Close |  Vol

============================================================
ANALISIS: NVDA | P2TrendPutStrategy | ENTRADA: 177.67 | TP: 176.17 | SL: 182.17
Hora  |  Open  |  High  |  Low   |  Close |  Vol
14:30 | 182.57 | 182.82 | 180.72 | 181.64 | 10871761 
14:45 | 181.65 | 182.60 | 181.61 | 182.47 | 6741222 
15:00 | 182.47 | 183.38 | 182.20 | 182.43 | 7137442 
15:15 | 182.45 | 182.94 | 182.13 | 182.28 | 4737914 
15:30 | 182.28 | 182.81 | 182.10 | 182.11 | 4638348 
15:45 | 182.10 | 182.77 | 181.84 | 182.76 | 4357409 
16:00 | 182.77 | 183.24 | 182.61 | 182.95 | 5451096 
16:15 | 182.95 | 182.99 | 182.27 | 182.54 | 4028937 
16:30 | 182.54 | 182.71 | 182.32 | 182.49 | 3005571 
16:45 | 182.50 | 182.67 | 182.32 | 182.47 | 3063505 
17:00 | 182.47 | 182.82 | 182.36 | 182.69 | 2392276 
17:15 | 182.70 | 182.85 | 182.36 | 182.74 | 2670789 
17:30 | 182.74 | 182.76 | 182.10 | 182.28 | 3025128 
17:45 | 182.28 | 182.67 | 182.17 | 182.43 | 2398531 
18:00 | 182.42 | 182.44 | 181.91 | 181.96 | 2584042 
18:15 | 181.95 | 182.09 | 181.83 | 182.07 | 2285836 
18:30 | 182.07 | 182.52 | 181.82 | 182.39 | 2711384 
18:45 | 182.39 | 182.74 | 182.38 | 182.63 | 2541264 
19:00 | 182.64 | 183.15 | 182.56 | 182.69 | 3896271 
19:15 | 182.70 | 182.72 | 182.03 | 182.31 | 2890993 
19:30 | 182.31 | 182.40 | 181.60 | 181.90 | 4916536 
19:45 | 181.89 | 181.95 | 181.09 | 181.23 | 4059904 
20:00 | 181.22 | 181.68 | 181.07 | 181.25 | 4229706 
20:15 | 181.24 | 181.35 | 180.88 | 181.25 | 4500061 
20:30 | 181.23 | 181.39 | 180.70 | 180.80 | 4125843 
20:45 | 180.80 | 180.97 | 180.33 | 180.35 | 6627134 
